profile|content_id|top_parent_id|seconds|viewed_at|duration|video_id|episode_id|program_id|object_id|content_type_id|percent_view|expired_at|user
1d5184f5-6a11-400b-9020-e41dbbc40d83|793692888045267921|0|9889|2024-07-06 16:04:00||0|0|0|0000031720259700|20|0||
42d6ef8e-9180-4985-a6f7-9f825f94c5e2|1010528161503969459|0|7397|2024-07-06 11:44:37||0|0|0|0000051720248000|20|0||
d26dfb5a-a1e9-42ed-8b38-e21bb2f7a3cb|1010528161503969459|0|7399|2024-07-06 11:44:37||0|0|0|0000051720248000|20|0||
3ce25530-a941-4b3a-be9a-8999cf6a65e8|1006635119851181870|546310935006937179|7186|2024-07-06 12:24:53||0|0|0|0000061720245600|20|0||
afef3b24-bad1-45a1-b994-6d52d3ea97e6|833507713533543982|0|2373|2024-07-12 03:59:57||0|0|0|0005281720338300|20|0||
4cc925b6-c2ea-4d7c-a70a-8fb5eeaf4ac1|851560893213641180|546311626970628671|1741|2024-07-06 10:59:36||0|0|0|0039471720251000|20|0||
40b0e79d-afc6-4719-b795-21a3d042c97a|1009112558418970677|546310701434536276|8986|2024-07-07 17:40:22||0|0|0|0007491720351800|20|0||
7e6c73da-3310-4cab-adc4-7850bef5fd5c|1006635119851181870|1006635023828651906|7143|2024-07-06 10:59:32||0|0|0|0000061720245600|20|0||
f21986da-40fc-4aaa-9544-32c1030bcd69|546309955162997169|0|4966|2024-07-06 10:37:49||0|0|0|0002011720246500|20|0||
03151d36-4266-4c4d-a68d-a6c53d020c59|547488304073801949|547488284595454673|314|2024-07-06 10:35:16||0|0|0|0002821720251000|20|0||
fa7d62bd-b52f-4006-987f-387338782f24|546316040523481330|0|5558|2024-09-10 22:52:49||0|0|0|0001951720249500|20|0|2024-09-13 21:20:00|
2bc37252-808f-45cf-a9a2-99ac90e839a9|1009112605160361546|546311768650023672|7715|2024-07-06 11:19:57||0|0|0|0100401720246200|20|0||
2010d37d-752e-4cf9-a333-f77a9e8329fc|900398070783435593|552536273374413543|1490|2024-07-06 10:34:47||0|0|0|0000021720245600|20|0||
f8616441-d44e-4878-b542-dc1507ada882|1009112559593613878|991771095070102538|9322|2024-07-06 10:39:02||0|0|0|0005181720375200|20|0||
3d3b1dd8-23ad-438c-b153-6146de34fdff|562690202083001302|562690200531108268|3579|2024-07-06 10:44:55||0|0|0|0001151720248300|20|0||
20c1deae-6a1e-4a12-a96a-60f0fcc17d0e|546317501848355677|0|4794|2024-07-06 11:40:44||0|0|0|0070231720215600|20|0||
a6b701ff-6dfd-44ea-aee7-be8b2ef810b9|546311157938389445|0|4521|2024-07-06 10:35:24||0|0|0|0001701720246800|20|0||
60e11b66-6447-4275-a662-47da47e143b6|546313932537594147|0|3538|2024-07-06 10:59:43||0|0|0|0000491720249200|20|0||
654d9877-35d8-4472-abca-50f3546079f2|546309356648399159|0|1040|2024-07-06 10:42:21||0|0|0|0056351720250700|20|0||
3e27ee10-4708-4511-a0d0-6c2509e2e813|583013954624684745|546326489906282627|1135|2024-07-06 10:52:35||0|0|0|0001091720236000|20|0||
e9a446f4-2df3-400b-8381-9967d5317cab|1009112605160361546|546311768650023672|7737|2024-07-06 11:19:56||0|0|0|0000401720246200|20|0||
265464e1-2dd9-4097-967a-452710ed3dc2|927645415222813751|0|1878|2024-08-08 21:15:04||0|0|0|0001691723137900|20|0||
2527f32b-9b0a-4641-b8ee-db993ce8cdc7|1006635702612305797|546325163948376325|457|2024-07-06 10:34:56||0|0|0|0000081720249200|20|0||
c7538211-061c-47e4-b978-c3d952690286|547505213397794910|0|8240|2024-07-06 10:39:07||0|0|0|0048301720279560|20|0||
ac2b9638-d738-434a-a801-7de3cc08840e|875624436559317979|588147948869648989|723|2024-07-06 10:37:06||0|0|0|0048331720250700|20|0||
a47d9fd9-110e-433b-979a-6e7fa91354bc|546309356648399159|0|4960|2024-07-08 13:54:38||0|0|0|0044991720250700|20|0||
5afd68b6-293d-4969-bfb6-c3aa1f8deaad|654991605281078102|815695933914403064|7618|2024-07-07 11:36:46||0|0|0|0006291720624500|20|0||
c824ee35-5983-4295-aedb-3eaa23a3a846|546310176542557181|546310079075320119|4319|2024-07-06 10:44:26||0|0|0|0000041720204320|20|0||
e7b0ffde-7c11-4b32-be1d-40a01ddb23a1|546330729785590263|546314524995617441|1237|2024-08-14 15:30:14||0|0|0|0002181720251240|20|0||
bfc3778f-95ed-4c7b-ab3e-2696bb66c168|649997564507623801|546332767017762826|5801|2024-07-06 11:09:18||0|0|0|0015921720140000|20|0||
0f8a7171-ea78-4040-b61c-47c9c88c7d55|546330729785590263|546314869813543472|526|2024-07-06 10:42:57||0|0|0|0002181720251240|20|0||
